name,firstReleaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId
Homeworld 3,2024-05-13,101336,59.99,5454092.0,8.952600407012936,42,AA,Gearbox Publishing,Blackbird Interactive,1840080
Crime Scene Cleaner,2024-08-14,309232,19.99,5082397.0,8.567752347169534,98,Indie,"President Studio,PlayWay S.A.",President Studio,1040200
Senuas Saga Hellblade 2,2024-05-21,108108,49.99,4796864.0,5.133334606112784,88,AAA,Xbox Game Studios,Ninja Theory,2461850
Pixel Gun 3D PC Edition,2024-04-02,1685776,0.0,4775621.0,11.510063343147374,62,Indie,Cubic Games Studio,Cubic Games Studio,2524890
shapez 2,2024-08-15,256118,24.99,4763491.0,18.42824352130187,99,Indie,"tobspr Games,Gamera Games",tobspr Games,2162800
Backpack Battles,2024-03-08,496193,12.99,4633606.0,44.03611524352701,90,Indie,"PlayWithFurcifer,IndieArk",PlayWithFurcifer,2427700
Kebab Chefs  Restaurant Simulator,2024-01-19,308420,17.99,4499700.0,9.906911357767555,88,Indie,Biotech Gameworks,Biotech Gameworks,1001270
Outpost Infinity Siege,2024-03-26,234311,24.99,4472674.0,38.98418422283269,0,AA,Lightning Games,Team Ranger,1566690
Palia,2024-03-25,776483,0.0,4434468.0,46.15698544832895,0,Indie,Singularity 6 Corporation,Singularity 6 Corporation,2707930
Little Kitty Big City,2024-05-09,214900,24.99,4405966.0,3.929858470246847,95,Indie,Double Dagger Studio,Double Dagger Studio,1177980
Norland,2024-07-18,181072,29.99,4248758.0,17.356142016884974,79,AA,Hooded Horse,Long Jaunt,1857090
Kingdom Rush 5 Alliance TD,2024-07-25,250864,19.99,4141992.0,8.954045542395487,86,Indie,Ironhide Game Studio,Ironhide Game Studio,2849080
The Hungry Lamb Traveling in the Late Ming Dynasty,2024-04-22,603809,9.99,3789183.0,5.426757820707547,97,Indie,"零创游戏(ZerocreationGame),2P Games",零创游戏(ZerocreationGame),2593370
Le Mans Ultimate,2024-02-20,119909,32.99,3716155.0,26.07196595608756,77,Indie,Studio 397,Studio 397,2399420
Eiyuden Chronicle Hundred Heroes,2024-04-23,85079,49.99,3659759.0,25.57428144212046,79,AA,505 Games,Rabbit & Bear Studios,1658280
Men of War 2,2024-05-15,90344,44.99,3639476.0,22.09438645684813,64,Indie,Fulqrum Publishing,Best Way,1128860
Fields of Mistria,2024-08-05,285156,13.99,3590399.0,16.58223827451694,98,Indie,NPC Studio,NPC Studio,2142790
